Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of canonical Wnt signaling pathway (GO:0060828)	6/253	1.708426e-03	2.630284e-02	0	0	5.078732e+00	3.236261e+01	COL1A1;SFRP1;ZEB2;MDK;GPC3;SOX4
GO_Biological_Process_2021	regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	4/102	1.718651e-03	2.630284e-02	0	0	8.419218e+00	5.359855e+01	HSP90AB1;RPL11;SUMO2;RACK1
GO_Biological_Process_2021	regulation of smoothened signaling pathway (GO:0008589)	3/51	2.122296e-03	3.201636e-02	0	0	1.279124e+01	7.873335e+01	SFRP1;RACK1;GPC3
GO_Biological_Process_2021	regulation of Wnt signaling pathway (GO:0030111)	4/111	2.340737e-03	3.481434e-02	0	0	7.707555e+00	4.668689e+01	APP;SFRP1;GPC3;RACK1
GO_Biological_Process_2021	regulation of non-canonical Wnt signaling pathway (GO:2000050)	2/15	2.490834e-03	3.603179e-02	0	0	3.121978e+01	1.871669e+02	SFRP1;GPC3
GO_Biological_Process_2021	protein localization to cell-cell junction (GO:0150105)	2/15	2.490834e-03	3.603179e-02	0	0	3.121978e+01	1.871669e+02	ACTB;ACTG1
GO_Biological_Process_2021	cellular response to transforming growth factor beta stimulus (GO:0071560)	4/114	2.578499e-03	3.679587e-02	0	0	7.496212e+00	4.468153e+01	SFRP1;COL3A1;COL1A2;RPS27A
GO_Biological_Process_2021	cellular response to peptide (GO:1901653)	3/57	2.918096e-03	4.058147e-02	0	0	1.136655e+01	6.634456e+01	APP;RPL23;VIM
GO_Biological_Process_2021	regulation of protein binding (GO:0043393)	4/118	2.920636e-03	4.058147e-02	0	0	7.231725e+00	4.220401e+01	APP;RPL11;RACK1;ACTB
GO_Biological_Process_2021	positive regulation of programmed cell death (GO:0043068)	6/286	3.147770e-03	4.279120e-02	0	0	4.472644e+00	2.576718e+01	SFRP1;IGFBP3;RPS6;RACK1;RPS27A;SOX4
GO_Biological_Process_2021	positive regulation of macromolecule metabolic process (GO:0010604)	7/384	3.160714e-03	4.279120e-02	0	0	3.897807e+00	2.243951e+01	APP;RPL5;RPS7;RPL23;RPL11;RPS3;ACTG1
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	6/300	3.975878e-03	5.314592e-02	0	0	4.256622e+00	2.352852e+01	COL1A1;APP;COL3A1;COL1A2;LUM;MFAP2
GO_Biological_Process_2021	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	3/64	4.051725e-03	5.348277e-02	0	0	1.005864e+01	5.540918e+01	RPL30;RPS19;RPL39
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	7/408	4.400855e-03	5.689717e-02	0	0	3.660017e+00	1.985909e+01	COL1A1;PDGFRA;SFRP1;MDK;TMSB4X;RACK1;ACTG1
GO_Biological_Process_2021	cell-cell junction assembly (GO:0007043)	3/66	4.418151e-03	5.689717e-02	0	0	9.738341e+00	5.280161e+01	CDH11;ACTB;ACTG1
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	5/221	5.069649e-03	6.450060e-02	0	0	4.796296e+00	2.534595e+01	COL1A1;PDGFRA;MDK;RACK1;ACTG1
GO_Biological_Process_2021	Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	3/71	5.420056e-03	6.813785e-02	0	0	9.020012e+00	4.706326e+01	HSP90AB1;ACTB;ACTG1
GO_Biological_Process_2021	cell junction organization (GO:0034330)	3/72	5.635432e-03	6.919787e-02	0	0	8.888839e+00	4.603247e+01	APP;ACTB;ACTG1
GO_Biological_Process_2021	Fc-gamma receptor signaling pathway (GO:0038094)	3/72	5.635432e-03	6.919787e-02	0	0	8.888839e+00	4.603247e+01	HSP90AB1;ACTB;ACTG1
GO_Biological_Process_2021	negative regulation of smoothened signaling pathway (GO:0045879)	2/23	5.847620e-03	7.097800e-02	0	0	1.931876e+01	9.933165e+01	GPC3;RACK1
GO_Biological_Process_2021	Fc receptor mediated stimulatory signaling pathway (GO:0002431)	3/74	6.081442e-03	7.297730e-02	0	0	8.637578e+00	4.407336e+01	HSP90AB1;ACTB;ACTG1
GO_Biological_Process_2021	regulation of mRNA stability (GO:0043488)	4/146	6.218070e-03	7.298507e-02	0	0	5.797535e+00	2.945319e+01	NPM1;CIRBP;VIM;RPS27A
GO_Biological_Process_2021	negative regulation of ossification (GO:0030279)	2/24	6.358547e-03	7.298507e-02	0	0	1.843970e+01	9.326719e+01	SFRP1;MDK
GO_Biological_Process_2021	positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846)	2/24	6.358547e-03	7.298507e-02	0	0	1.843970e+01	9.326719e+01	ZEB2;HSP90AB1
GO_Biological_Process_2021	positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	2/24	6.358547e-03	7.298507e-02	0	0	1.843970e+01	9.326719e+01	ZEB2;HSP90AB1
GO_Biological_Process_2021	cellular response to hexose stimulus (GO:0071331)	2/25	6.889074e-03	7.822432e-02	0	0	1.763709e+01	8.779423e+01	RACK1;SOX4
GO_Biological_Process_2021	maturation of LSU-rRNA (GO:0000470)	2/26	7.438995e-03	8.298041e-02	0	0	1.690136e+01	8.283390e+01	RPL7A;RPL10A
GO_Biological_Process_2021	negative regulation of cellular process (GO:0048523)	8/566	7.481094e-03	8.298041e-02	0	0	3.014181e+00	1.475555e+01	APP;SFRP1;NPM1;MDK;IGFBP3;RACK1;TXNIP;SOX4
GO_Biological_Process_2021	regulation of NIK/NF-kappaB signaling (GO:1901222)	3/80	7.543674e-03	8.298041e-02	0	0	7.962110e+00	3.891120e+01	APP;TMSB4X;RPS3
GO_Biological_Process_2021	positive regulation of NF-kappaB transcription factor activity (GO:0051092)	4/155	7.653706e-03	8.332282e-02	0	0	5.449503e+00	2.655306e+01	APP;NPM1;RPS3;RPS27A
GO_Biological_Process_2021	regulation of signal transduction by p53 class mediator (GO:1901796)	4/156	7.825550e-03	8.432430e-02	0	0	5.413377e+00	2.625683e+01	RPL5;RPL23;RPL11;RPL37
