0	HOWT_1	HOWT_2	HOWT_3	HOET_1	HOET_2	HOET_3
AMBN	0	0	0	0	0	0
AMBP	627	1074	842	218	299	281
AMBRA1	678	809	841	611	833	816
AMD1	1071	1332	1254	1371	1545	1456
AMDHD1	16	15	5	2	2	7
AMDHD2	147	225	252	47	60	72
AMELX	0	0	0	3	4	3
AMELY	0	0	0	0	0	0
AMER1	277	384	413	272	260	287
AMER2	1	2	2	5	0	0
AMER3	8	7	9	0	1	0
AMFR	972	1313	1472	933	1152	1098
AMH	94	111	111	52	80	62
AMHR2	133	176	217	31	25	25
AMICA1	20	25	15	3	4	2
AMIGO1	146	161	200	96	122	153
AMIGO2	29	27	33	42	54	44
AMIGO3	111	139	143	47	63	53
AMMECR1	312	346	389	166	226	214
AMMECR1L	505	627	775	647	758	695
AMN	17	37	37	17	31	16
AMN1	72	95	86	110	164	134
AMOT	195	220	256	98	107	107
AMOTL1	326	401	592	406	320	414
AMOTL2	718	1133	1197	5397	6615	7078
AMPD1	0	0	0	0	0	1
AMPD2	794	1099	1143	1318	1678	1695
AMPD3	490	685	739	142	168	123
AMPH	41	50	61	6	3	19
