gene	mean	VO_mean	VO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
PITX2	0.1992886	0.18501055	0.1165858389912706	0.32552353	0.24356775300171526	0.8148177	7.027147	1
NDST4	0.024715291	0.0272802	0.015324927255092144	0.0020290823	0.0017152658662092624	-3.6848292	10.860131	1
NDST3	0.032398567	0.035027813	0.02308438409311348	0.009143492	0.008576329331046312	-1.926104	5.982292	1
GUCY1B1	0.26930696	0.2568483	0.1681862269641125	0.37945494	0.2847341337907376	0.5628306	5.06965	1
MFAP3L	0.005389857	0.0059995106	0.004655674102812803	7.1304385e-10	0.0	-5.930611	5.8023934	1
SCRG1	0.06584526	0.05737313	0.035499515033947625	0.14076446	0.10806174957118353	1.2933482	5.4638743	1
HAND2	0.53485	0.5049827	0.2950533462657614	0.7989855	0.5317324185248714	0.6618302	14.937149	1
HAND2-AS1	0.17612632	0.16170087	0.1026188166828322	0.30366236	0.24013722126929674	0.90872365	8.040762	1
PRLR	0.083815135	0.07475888	0.04422890397672163	0.16389894	0.13036020583190394	1.1314411	5.591775	1
EMB	0.03714442	0.040014714	0.028903976721629487	0.011757961	0.012006861063464836	-1.7582757	6.046357	1
ESM1	0.06022482	0.06546873	0.0422890397672163	0.0138655035	0.0137221269296741	-2.2311404	13.591659	1
MAP3K1	0.33017808	0.31546763	0.19670223084384092	0.46023774	0.35334476843910806	0.5447435	6.2441287	1
RAB3C	0.04430096	0.029369524	0.020562560620756547	0.17632109	0.13550600343053174	2.5817275	12.975176	1
AC113383.1	0.010521194	0.011711171	0.00834141610087294	7.1304385e-10	0.0	-6.883998	9.50073	1
MCTP1	0.029281588	0.03175332	0.020368574199806012	0.0074192183	0.00686106346483705	-2.0827892	5.949548	1
RHOBTB3	0.7218413	0.6926105	0.40853540252182347	0.98034227	0.6415094339622641	0.50118005	14.599761	1
EPB41L4A-AS1	0.365874	0.34032753	0.21319107662463627	0.5917606	0.4288164665523156	0.79790974	14.233399	1
PPIC	0.4793272	0.44864592	0.28108632395732297	0.75066745	0.5008576329331046	0.74246734	16.200605	1
LMNB1	0.30029833	0.31167573	0.19728419010669254	0.1996779	0.1457975986277873	-0.64211154	5.8447433	1
P4HA2	0.23120898	0.20106894	0.13016488845780796	0.49770012	0.37735849056603776	1.307159	22.576065	1
CAMLG	0.667731	0.63768095	0.379631425800194	0.93347573	0.614065180102916	0.54970604	15.239419	1
TGFBI	0.36920866	0.35327542	0.19786614936954414	0.5101025	0.32246998284734135	0.5298684	5.0380077	1
SMAD5-AS1	0.005592102	0.0062246285	0.0044616876818622695	7.1304385e-10	0.0	-5.9828987	5.6289325	1
ECSCR	0.024817156	0.027170375	0.016488845780795344	0.0040027057	0.003430531732418525	-2.732687	7.5445065	1
PCDHGA10	0.16511115	0.15270643	0.098545101842871	0.2747789	0.21612349914236706	0.8470908	6.5101004	1
PCDH1	0.04372081	0.046989653	0.03724539282250242	0.014810492	0.0137221269296741	-1.6590823	6.26168	1
SGCD	0.09192997	0.097190656	0.05761396702230844	0.045402043	0.03773584905660377	-1.09637	5.3426294	1
CCNG1	0.3698227	0.35354495	0.22502424830261883	0.51376295	0.37735849056603776	0.5390821	6.771714	1
SLIT3	0.22147544	0.20973775	0.13152279340446169	0.32524806	0.24528301886792453	0.6327097	5.0342937	1
NKX2-5	0.017970908	0.011932966	0.008535402521823473	0.07136007	0.0634648370497427	2.570145	6.153801	1
BTNL9	0.016702332	0.018298445	0.014354995150339476	0.0025900132	0.003430531732418525	-2.7738986	7.394129	1
SERPINB6	0.33617967	0.3190012	0.20795344325897186	0.48806155	0.3653516295025729	0.61334467	7.862317	1
GFOD1	0.07513225	0.065751605	0.0457807953443259	0.1580848	0.1269296740994854	1.2643205	6.2878976	1
ID4	0.25341392	0.23708318	0.14704170708050437	0.39780095	0.2933104631217839	0.7464076	7.8094006	1
HLA-A	0.3868638	0.36190403	0.23549951503394762	0.6075811	0.43739279588336194	0.74730873	13.4844055	1
HLA-E	0.21952558	0.20748019	0.1414161008729389	0.32601735	0.2607204116638079	0.6517224	5.597803	1
IER3	0.0812064	0.067551576	0.04655674102812803	0.20195162	0.15437392795883362	1.5785285	9.533013	1
AL645933.2	0.0056124274	0.006247252	0.004073714839961203	7.1304385e-10	0.0	-5.98805	5.1424427	1
SNHG32	0.9740535	0.9329254	0.5200775945683802	1.3377379	0.7804459691252144	0.51991504	25.92973	1
HLA-DPB1	0.09223947	0.08364892	0.05722599418040737	0.16820033	0.14065180102915953	1.0068954	5.265276	1
VEGFA	0.11926771	0.10348209	0.06265761396702231	0.25882933	0.19725557461406518	1.3217838	10.052808	1
COL12A1	0.27106994	0.28481528	0.16139670223084385	0.14951205	0.12178387650085763	-0.92930645	11.0002985	1
MYO6	0.39801395	0.3814223	0.24442289039767218	0.54476106	0.40823327615780447	0.51412106	6.986802	1
TENT5A	0.2629047	0.24418561	0.15092143549951503	0.42840844	0.2967409948542024	0.8107547	8.787133	1
PPIL6	0.0064439047	0.0071727647	0.00504364694471387	7.1304385e-10	0.0	-6.1844215	6.070133	1
FAM162B	0.0067810626	0.007548053	0.005819592628516004	7.1304385e-10	0.0	-6.2570105	6.908307	1
SLC35F1	0.10196379	0.108252615	0.07584869059165858	0.0463356	0.03945111492281304	-1.2224307	7.5407743	1
TPD52L1	0.02788089	0.021197304	0.014161008729388943	0.0869744	0.06518010291595197	2.0315778	5.1094646	1
SGK1	0.24745315	0.22387257	0.1381183317167798	0.45594507	0.3276157804459691	1.0258543	13.469687	1
PDE7B	0.04407167	0.03611756	0.02289039767216295	0.11439668	0.09262435677530018	1.6605444	6.0632415	1
PLAGL1	0.4682778	0.44831333	0.27507274490785644	0.6448633	0.4614065180102916	0.5243881	8.499276	1
MYCT1	0.007047035	0.007844105	0.005431619786614937	7.1304385e-10	0.0	-6.3118024	6.601155	1
AMPH	0.05319399	0.05690419	0.043452958292919494	0.020396063	0.017152658662092625	-1.4757212	5.7804866	1
MYL7	0.016190208	-5.2023097e-09	0.0	0.15934724	0.13036020583190394	10.638939	17.474226	1
IGFBP3	1.2501073	1.1678495	0.5369544131910766	1.9774686	0.8078902229845626	0.75974977	41.728313	1
VSTM2A	0.017251983	0.019203173	0.01066925315227934	7.1304385e-10	0.0	-7.592684	12.372794	1
SUMF2	0.2371932	0.22230078	0.15092143549951503	0.36886108	0.29845626072041165	0.7303067	7.6843114	1
CD36	0.09068735	0.099862136	0.05955383123181377	0.009540254	0.008576329331046312	-3.3742387	32.52171	1
HGF	0.02744656	0.019558439	0.011057225994180407	0.09719192	0.0686106346483705	2.3071713	6.0586286	1
SEMA3D	0.2112137	0.2235199	0.12919495635305528	0.102378026	0.07032590051457976	-1.1257341	10.6497	1
TAC1	0.7071749	0.66650814	0.3194956353055286	1.066809	0.5145797598627787	0.67852634	14.010021	1
