gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV	UN
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS04662DF1A	WNT9A	0.001	0.0	0.0	0.0	0.004
GDNF	P39905	False	GDNF_HUMAN		CPI-SC0BDF87EA3	GDNF	0.001	0.0	0.0	0.0	0.004
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.002	1.536	0.0	0.072	0.016
FTL	P02792	False	FRIL_HUMAN		CPI-SS00577086D	FTL	3.596	4.156	5.052	4.361	2.238
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0B51DC960	FLT1	0.042	1.631	0.061	0.165	0.093
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0AFC650CD	FLT1	0.042	1.631	0.061	0.165	0.093
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0B51DC960	KDR	0.042	1.631	0.061	0.165	0.093
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0AFC650CD	KDR	0.042	1.631	0.061	0.165	0.093
ITGB7	P26010	True	ITB7_HUMAN	integrin_a4b7_complex	CPI-SC034EE8AAA	ITGB7	0.0	0.013	0.0	0.0	0.0
ITGB7	P26010	True	ITB7_HUMAN	integrin_a4b7_complex	CPI-SC06C0A2080	ITGB7	0.0	0.013	0.0	0.0	0.0
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b7_complex	CPI-SC034EE8AAA	ITGA4	0.0	0.013	0.0	0.0	0.0
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b7_complex	CPI-SC06C0A2080	ITGA4	0.0	0.013	0.0	0.0	0.0
RET	P07949	True	RET_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	RET	0.0	0.0	0.0	0.0	0.0
GFRA1	P56159	True	GFRA1_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	GFRA1	0.0	0.0	0.0	0.0	0.0
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS01A7DC3C1	NRXN3	0.007	0.0	0.0	0.014	0.005
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0EEFFA23C	NRXN3	0.007	0.0	0.0	0.014	0.005
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS026EC3854	NRXN3	0.007	0.0	0.0	0.014	0.005
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F97A06CD	NRXN3	0.007	0.0	0.0	0.014	0.005
F2R	P25116	False	PAR1_HUMAN		CPI-SS058209EC7	F2R	0.041	0.563	0.057	0.65	0.039
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.005	0.0	0.0	0.003	0.0
AGTR1	P30556	False	AGTR1_HUMAN		CPI-SS05996C8FD	AGTR1	0.002	0.007	0.585	0.015	0.013
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.005	0.015	0.0	0.221	0.014
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS09A6C048C	NRXN1	0.628	0.064	0.061	0.145	0.165
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS043D3630C	NRXN1	0.628	0.064	0.061	0.145	0.165
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0626DF0EB	NRXN1	0.628	0.064	0.061	0.145	0.165
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS03466C597	NRXN1	0.628	0.064	0.061	0.145	0.165
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0ECD9BB5E	ACKR4	0.002	0.014	0.0	0.002	0.021
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0CCD89E02	ACKR4	0.002	0.014	0.0	0.002	0.021
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS083B5EBAB	ACKR4	0.002	0.014	0.0	0.002	0.021
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS08102DC9E	CXCR2	0.0	0.0	0.0	0.002	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS09185EA8F	CXCR2	0.0	0.0	0.0	0.002	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0315F51DD	CXCR2	0.0	0.0	0.0	0.002	0.0
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.009	0.247	0.0	0.239	0.008
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.009	0.247	0.0	0.239	0.008
ADGRB3	O60242	False	AGRB3_HUMAN		CPI-SS0F62347D4	ADGRB3	0.007	0.014	0.0	0.082	0.03
PPARG	P37231	False	PPARG_HUMAN		CPI-CS0917E42F5	PPARG	0.003	0.333	0.63	0.096	0.004
