gene	mean	Fus-HO_mean	Fus-HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
EPAS1	0.2999656	0.18467984	0.1875	0.37763035	0.40842105263157896	1.0315492	8.2238655	1
EFEMP1	0.057687752	0.0069106324	0.00625	0.09189555	0.10526315789473684	3.7139478	8.402303	1
COMMD1	0.35471255	0.25724062	0.2625	0.4203775	0.45263157894736844	0.7083494	5.4373817	1
PRADC1	0.18209416	0.11559103	0.128125	0.22689563	0.2863157894736842	0.97238755	5.069542	1
CCT7	0.52527106	0.39798623	0.375	0.6110219	0.5978947368421053	0.61837924	6.8841724	1
DCTN1	0.4069581	0.29468945	0.29375	0.48259196	0.5178947368421053	0.711418	6.7555747	1
LOXL3	0.38441524	0.5201285	0.440625	0.29298633	0.33052631578947367	-0.8278199	7.1221657	1
HK2	0.12222661	0.20641671	0.190625	0.06550941	0.0863157894736842	-1.6542839	6.252236	1
CHMP3	0.6100757	0.44580913	0.4125	0.72074074	0.6568421052631579	0.6929309	9.867863	1
CYTOR	0.41092739	0.14273666	0.146875	0.59160435	0.5136842105263157	2.0505104	31.188738	1
MAP4K4	1.0794748	0.8128951	0.609375	1.259065	0.8568421052631578	0.63114876	16.197567	1
IL1R1	0.3187627	0.16577469	0.1625	0.42182735	0.4168421052631579	1.3469008	13.096578	1
MIR4435-2HG	0.25252116	0.1197832	0.128125	0.34194347	0.3684210526315789	1.5125501	12.913086	1
AC108463.3	0.04201041	0.009840899	0.0125	0.06368266	0.0863157894736842	2.681716	5.885064	1
ZC3H6	0.17328654	0.2726284	0.25	0.10635957	0.13263157894736843	-1.3571593	7.022204	1
TTL	0.22422208	0.12068868	0.128125	0.2939695	0.35157894736842105	1.283672	9.362697	1
ACTR3	0.8521184	0.6636068	0.546875	0.97911316	0.7747368421052632	0.5610768	10.357803	1
INSIG2	0.3204857	0.48471737	0.396875	0.20983978	0.25473684210526315	-1.2074658	10.638095	1
DBI	1.1666938	0.7942294	0.590625	1.4176164	0.8926315789473684	0.83575964	30.214966	1
IWS1	0.31374475	0.22185057	0.21875	0.37565085	0.4168421052631579	0.7595379	5.2861485	1
TANC1	0.22024424	0.119848184	0.13125	0.2878787	0.3389473684210526	1.2635506	9.032058	1
PSMD14	0.39923745	0.30053023	0.284375	0.46573576	0.5157894736842106	0.6318314	5.200371	1
SCN9A	0.08485394	0.031254124	0.034375	0.12096344	0.15157894736842106	1.949036	6.7596	1
FKBP7	0.4126776	0.5261416	0.453125	0.3362403	0.3936842105263158	-0.64580375	5.4295135	1
ITGA4	0.3522321	0.13982458	0.140625	0.49532786	0.4905263157894737	1.8240255	24.60061	1
DNAJC10	0.5216362	0.37096465	0.340625	0.6231421	0.6126315789473684	0.7481223	9.337784	1
ITGAV	0.8084256	0.5654197	0.45625	0.9721341	0.7705263157894737	0.7817265	15.93877	1
NAB1	0.17941733	0.10298162	0.103125	0.2309105	0.2694736842105263	1.1641713	6.0714445	1
HECW2	0.55147725	0.24946433	0.215625	0.75493926	0.6063157894736843	1.59714	27.477873	1
NDUFB3	0.41262975	0.5308695	0.471875	0.3329741	0.3873684210526316	-0.67278594	6.008624	1
CFLAR	0.27410862	0.18563807	0.190625	0.33370826	0.38105263157894737	0.84575	5.4737997	1
