gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN_H	EN_V	EP	FB_H	FB_V	PR	UN
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0315F51DD	CXCR2	0.001	0.0	0.0	0.0	0.006	0.0	0.0	0.002
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.012	0.471	0.655	0.011	0.127	0.011	0.064	0.008
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.012	0.471	0.655	0.011	0.127	0.011	0.064	0.008
RORA	P35398	False	RORA_HUMAN		CPI-CS0406B0B69	RORA	0.258	0.264	0.274	0.394	0.241	0.193	0.138	0.094
ADGRB3	O60242	False	AGRB3_HUMAN		CPI-SS0F62347D4	ADGRB3	0.008	0.018	0.012	0.0	0.044	0.082	0.067	0.005
HHIP	Q96QV1	False	HHIP_HUMAN		CPI-SS055233B99	HHIP	0.002	0.021	0.0	0.0	0.016	0.0	0.002	0.005
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS0D8632EB4	EDNRA	0.125	0.012	0.083	0.011	0.161	0.587	0.736	0.019
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS056AA08CF	EDNRA	0.125	0.012	0.083	0.011	0.161	0.587	0.736	0.019
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS03D5CBF55	EDNRA	0.125	0.012	0.083	0.011	0.161	0.587	0.736	0.019
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS0C70ADA28	EPHA3	0.108	0.009	0.024	0.043	0.076	0.073	0.143	0.032
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	EPHA4	0.273	0.021	0.036	0.032	0.022	0.206	0.031	0.078
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.273	0.021	0.036	0.032	0.022	0.206	0.031	0.078
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS068ACD209	EPHB2	0.09	0.003	0.024	0.021	0.06	0.047	0.01	0.003
