Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of p38MAPK cascade (GO:1900744)	1/37	1.694201e-01	3.937872e-01	0	0	5.573513e+00	9.895070e+00	EMC10
GO_Biological_Process_2021	protein insertion into ER membrane (GO:0045048)	1/37	1.694201e-01	3.937872e-01	0	0	5.573513e+00	9.895070e+00	EMC10
GO_Biological_Process_2021	actin filament organization (GO:0007015)	2/152	1.763559e-01	4.044373e-01	0	0	2.687075e+00	4.662749e+00	NEBL;TTN
GO_Biological_Process_2021	regulation of peptidyl-threonine phosphorylation (GO:0010799)	1/39	1.777206e-01	4.044373e-01	0	0	5.279638e+00	9.120800e+00	EGF
GO_Biological_Process_2021	positive regulation of cation channel activity (GO:2001259)	1/40	1.818400e-01	4.044373e-01	0	0	5.144004e+00	8.768613e+00	KCNIP2
GO_Biological_Process_2021	negative regulation of ERBB signaling pathway (GO:1901185)	1/40	1.818400e-01	4.044373e-01	0	0	5.144004e+00	8.768613e+00	EGF
GO_Biological_Process_2021	detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1/40	1.818400e-01	4.044373e-01	0	0	5.144004e+00	8.768613e+00	TAS2R4
GO_Biological_Process_2021	response to growth factor (GO:0070848)	1/41	1.859390e-01	4.056628e-01	0	0	5.015152e+00	8.437172e+00	PLK5
GO_Biological_Process_2021	sensory perception of bitter taste (GO:0050913)	1/41	1.859390e-01	4.056628e-01	0	0	5.015152e+00	8.437172e+00	TAS2R4
GO_Biological_Process_2021	positive regulation of ATPase activity (GO:0032781)	1/42	1.900177e-01	4.056628e-01	0	0	4.892584e+00	8.124812e+00	TNNT2
GO_Biological_Process_2021	positive regulation of protein tyrosine kinase activity (GO:0061098)	1/42	1.900177e-01	4.056628e-01	0	0	4.892584e+00	8.124812e+00	EGF
GO_Biological_Process_2021	positive regulation of protein kinase B signaling (GO:0051897)	2/161	1.925342e-01	4.056628e-01	0	0	2.533821e+00	4.174423e+00	EGF;NRG4
GO_Biological_Process_2021	positive regulation of potassium ion transmembrane transport (GO:1901381)	1/44	1.981144e-01	4.056628e-01	0	0	4.664553e+00	7.551493e+00	KCNIP2
GO_Biological_Process_2021	positive regulation of receptor-mediated endocytosis (GO:0048260)	1/44	1.981144e-01	4.056628e-01	0	0	4.664553e+00	7.551493e+00	EGF
GO_Biological_Process_2021	negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)	1/44	1.981144e-01	4.056628e-01	0	0	4.664553e+00	7.551493e+00	EGF
GO_Biological_Process_2021	detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1/44	1.981144e-01	4.056628e-01	0	0	4.664553e+00	7.551493e+00	TAS2R4
GO_Biological_Process_2021	cardiac ventricle morphogenesis (GO:0003208)	1/44	1.981144e-01	4.056628e-01	0	0	4.664553e+00	7.551493e+00	TNNT2
GO_Biological_Process_2021	regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	1/45	2.021327e-01	4.074237e-01	0	0	4.558310e+00	7.287968e+00	EGF
GO_Biological_Process_2021	chromosome condensation (GO:0030261)	1/45	2.021327e-01	4.074237e-01	0	0	4.558310e+00	7.287968e+00	TTN
GO_Biological_Process_2021	regulation of cellular protein localization (GO:1903827)	1/46	2.061310e-01	4.122620e-01	0	0	4.456790e+00	7.038356e+00	EGF
GO_Biological_Process_2021	epidermal growth factor receptor signaling pathway (GO:0007173)	1/47	2.101095e-01	4.138034e-01	0	0	4.359684e+00	6.801658e+00	EGF
GO_Biological_Process_2021	regulation of DNA binding (GO:0051101)	1/47	2.101095e-01	4.138034e-01	0	0	4.359684e+00	6.801658e+00	EGF
GO_Biological_Process_2021	negative regulation of transport (GO:0051051)	1/51	2.258270e-01	4.408253e-01	0	0	4.010101e+00	5.966974e+00	EGF
GO_Biological_Process_2021	regulated exocytosis (GO:0045055)	2/180	2.272471e-01	4.408253e-01	0	0	2.261179e+00	3.350427e+00	EGF;TTN
GO_Biological_Process_2021	heart morphogenesis (GO:0003007)	1/53	2.335693e-01	4.430946e-01	0	0	3.855478e+00	5.606931e+00	TTN
GO_Biological_Process_2021	cardiac muscle tissue development (GO:0048738)	1/53	2.335693e-01	4.430946e-01	0	0	3.855478e+00	5.606931e+00	TTN
GO_Biological_Process_2021	regulation of DNA replication (GO:0006275)	1/53	2.335693e-01	4.430946e-01	0	0	3.855478e+00	5.606931e+00	EGF
GO_Biological_Process_2021	regulation of potassium ion transmembrane transport (GO:1901379)	1/54	2.374116e-01	4.470963e-01	0	0	3.782542e+00	5.439144e+00	KCNIP2
GO_Biological_Process_2021	protein sumoylation (GO:0016925)	1/55	2.412349e-01	4.510043e-01	0	0	3.712308e+00	5.278844e+00	RNF212B
GO_Biological_Process_2021	regulation of mitotic nuclear division (GO:0007088)	1/57	2.488245e-01	4.618470e-01	0	0	3.579365e+00	4.978923e+00	EGF
GO_Biological_Process_2021	regulation of calcium ion transport (GO:0051924)	1/58	2.525911e-01	4.654894e-01	0	0	3.516392e+00	4.838496e+00	EGF
GO_Biological_Process_2021	positive regulation of cysteine-type endopeptidase activity (GO:2001056)	1/62	2.674715e-01	4.858024e-01	0	0	3.285147e+00	4.332262e+00	BLID
GO_Biological_Process_2021	COPII vesicle coating (GO:0048208)	1/63	2.711455e-01	4.858024e-01	0	0	3.231997e+00	4.218078e+00	COL7A1
GO_Biological_Process_2021	vesicle coating (GO:0006901)	1/63	2.711455e-01	4.858024e-01	0	0	3.231997e+00	4.218078e+00	COL7A1
GO_Biological_Process_2021	vesicle targeting, rough ER to cis-Golgi (GO:0048207)	1/63	2.711455e-01	4.858024e-01	0	0	3.231997e+00	4.218078e+00	COL7A1
GO_Biological_Process_2021	regulation of protein kinase B signaling (GO:0051896)	2/207	2.771997e-01	4.932242e-01	0	0	1.960677e+00	2.515582e+00	EGF;NRG4
GO_Biological_Process_2021	regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	1/67	2.856601e-01	5.047966e-01	0	0	3.035507e+00	3.803346e+00	EGF
GO_Biological_Process_2021	positive regulation of protein transport (GO:0051222)	1/69	2.928097e-01	5.104385e-01	0	0	2.945930e+00	3.618287e+00	TTN
GO_Biological_Process_2021	positive regulation of MAP kinase activity (GO:0043406)	1/69	2.928097e-01	5.104385e-01	0	0	2.945930e+00	3.618287e+00	EGF
GO_Biological_Process_2021	COPII-coated vesicle budding (GO:0090114)	1/70	2.963579e-01	5.108351e-01	0	0	2.903089e+00	3.530700e+00	COL7A1
GO_Biological_Process_2021	regulation of G1/S transition of mitotic cell cycle (GO:2000045)	1/71	2.998884e-01	5.108351e-01	0	0	2.861472e+00	3.446199e+00	PLK5
GO_Biological_Process_2021	positive regulation of protein secretion (GO:0050714)	1/72	3.034015e-01	5.108351e-01	0	0	2.821027e+00	3.364635e+00	TTN
GO_Biological_Process_2021	positive regulation of secretion by cell (GO:1903532)	1/72	3.034015e-01	5.108351e-01	0	0	2.821027e+00	3.364635e+00	TTN
GO_Biological_Process_2021	cell junction organization (GO:0034330)	1/72	3.034015e-01	5.108351e-01	0	0	2.821027e+00	3.364635e+00	PPFIA4
GO_Biological_Process_2021	regulation of hydrolase activity (GO:0051336)	1/73	3.068970e-01	5.108351e-01	0	0	2.781706e+00	3.285871e+00	RAP1GAP
GO_Biological_Process_2021	neurotransmitter transport (GO:0006836)	1/73	3.068970e-01	5.108351e-01	0	0	2.781706e+00	3.285871e+00	PPFIA4
GO_Biological_Process_2021	regulation of cell division (GO:0051302)	1/76	3.172799e-01	5.247321e-01	0	0	2.670034e+00	3.065121e+00	PLK5
GO_Biological_Process_2021	positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	1/77	3.207065e-01	5.270209e-01	0	0	2.634769e+00	2.996335e+00	EGF
GO_Biological_Process_2021	regulation of G protein-coupled receptor signaling pathway (GO:0008277)	1/82	3.375858e-01	5.482034e-01	0	0	2.471505e+00	2.683895e+00	RGS11
GO_Biological_Process_2021	epidermis development (GO:0008544)	1/83	3.409115e-01	5.482034e-01	0	0	2.441242e+00	2.627099e+00	COL7A1
GO_Biological_Process_2021	regulation of Notch signaling pathway (GO:0008593)	1/83	3.409115e-01	5.482034e-01	0	0	2.441242e+00	2.627099e+00	EGF
GO_Biological_Process_2021	spindle assembly (GO:0051225)	1/84	3.442207e-01	5.482034e-01	0	0	2.411707e+00	2.572019e+00	GOLGA8N
