id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	EN_V|EN_V	EN_V|FB_V	EN_V|PR	EN_V|SM	EN_V|UN	FB_V|EN_V	FB_V|FB_V	FB_V|PR	FB_V|SM	FB_V|UN	PR|EN_V	PR|FB_V	PR|PR	PR|SM	PR|UN	SM|EN_V	SM|FB_V	SM|PR	SM|SM	SM|UN	UN|EN_V	UN|FB_V	UN|PR	UN|SM	UN|UN
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	1.179	1.237	0.839	0.885	1.005	0.541	0.598	0.201	0.246	0.367	0.692	0.75	0.352	0.397	0.518	0.584	0.642	0.245	0.29	0.411	0.639	0.697	0.3	0.345	0.466
CPI-SS0F67B526A	SEMA3C_NRP2	simple:Q99985	simple:O60462	SEMA3C	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.508	0.566	0.169	0.214	0.335	0.485	0.543	0.145	0.191	0.311	0.482	0.54	0.143	0.188	0.309	0.485	0.543	0.145	0.19	0.311	0.549	0.607	0.209	0.255	0.375
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.488	0.545	0.148	0.193	0.314	0.518	0.575	0.178	0.223	0.344	0.493	0.551	0.154	0.199	0.32	0.501	0.559	0.162	0.207	0.328	0.0	0.0	0.0	0.0	0.0
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.391	0.845	0.678	0.323	0.302	0.275	0.729	0.562	0.207	0.186	0.434	0.888	0.721	0.366	0.345	0.635	1.089	0.922	0.567	0.546	0.234	0.688	0.521	0.166	0.145
CPI-SS06DA9B4FE	PDGFC_PDGFRA	simple:Q9NRA1	simple:P16234	PDGFC	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.177	0.632	0.464	0.109	0.088	0.222	0.677	0.509	0.154	0.133	0.196	0.65	0.483	0.128	0.107	0.236	0.69	0.523	0.168	0.147	0.0	0.0	0.0	0.0	0.0
CPI-CS0D78DAC70	ProstaglandinD2_byAKR1C3_PTGFR	complex:ProstaglandinD2_byAKR1C3	simple:P43088		PTGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.011	0.025	0.012	0.013	0.0	0.043	0.057	0.044	0.044	0.0	0.027	0.041	0.028	0.028	0.0	0.007	0.022	0.009	0.009	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0F0453B03	ProstaglandinE2_byPTGES_PTGER2	complex:ProstaglandinE2_byPTGES	simple:P43116		PTGER2	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.004	0.009	0.006	0.009	0.0	0.01	0.016	0.012	0.015	0.0	0.005	0.011	0.007	0.01	0.0	0.008	0.014	0.01	0.013	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS080C76630	ProstaglandinE2_byPTGES_PTGER3	complex:ProstaglandinE2_byPTGES	simple:P43115		PTGER3	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.009	0.03	0.005	0.005	0.0	0.016	0.037	0.012	0.012	0.0	0.011	0.032	0.007	0.007	0.0	0.014	0.035	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS023F349AF	ProstaglandinE2_byPTGES_PTGER4	complex:ProstaglandinE2_byPTGES	simple:P35408		PTGER4	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.014	0.011	0.01	0.013	0.157	0.021	0.018	0.016	0.02	0.164	0.016	0.013	0.011	0.015	0.159	0.019	0.016	0.014	0.018	0.162	0.0	0.0	0.0	0.0	0.0
CPI-SS056D0AD0D	RSPO2_LGR5	simple:Q6UXX9	simple:O75473	RSPO2	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.004	0.028	0.006	0.002	0.0	0.005	0.03	0.007	0.003	0.0	0.004	0.029	0.006	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
