gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.015	0.003	0.05	0.041
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0C70ADA28	EFNA5	0.194	0.137	0.114	0.452
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.194	0.137	0.114	0.452
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.057	0.791	0.133	0.206
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.194	0.137	0.114	0.452
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS028688B7B	EFNA5	0.194	0.137	0.114	0.452
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS068ACD209	EFNA5	0.194	0.137	0.114	0.452
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0ECC9DF3E	EFNB2	0.057	0.791	0.133	0.206
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.088	0.083	0.348	0.094
EREG	O14944	False	EREG_HUMAN		CPI-SS004C23DCE	EREG	0.0	0.0	0.005	0.001
TGFA	P01135	False	TGFA_HUMAN		CPI-SS07E5C3060	TGFA	0.001	0.001	0.011	0.0
EREG	O14944	False	EREG_HUMAN		CPI-SS0FC42EC80	EREG	0.0	0.0	0.005	0.001
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BD5C2A23	NRG1	0.022	0.138	0.017	0.074
NRG3	P56975	False	NRG3_HUMAN		CPI-SS0D5E30C6C	NRG3	0.215	0.656	1.064	1.479
NRG4	Q8WWG1	False	NRG4_HUMAN		CPI-SS0627D0E22	NRG4	0.006	0.003	0.009	0.004
FLRT2	O43155	False	FLRT2_HUMAN		CPI-SS0474E1C15	FLRT2	0.194	0.055	0.169	0.238
