id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|PV	EC|CM	EC|EC	EC|EP	EC|PV	EP|CM	EP|EC	EP|EP	EP|PV	PV|CM	PV|EC	PV|EP	PV|PV
CPI-CC0A4E09DEF	Acetylcholine_byCHAT_and_SLC5A7_nAChR_a7_complex	complex:Acetylcholine_byCHAT_and_SLC5A7	complex:nAChR_a7_complex			True	False	True	curated	False	Ligand-Receptor	Signaling by Choline acetyltransferase 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.005	0.001	0.003
CPI-CS0917E42F5	DHEAsulfate_bySULT1E1_PPARG	complex:DHEAsulfate_bySULT1E1	simple:P37231		PPARG	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.02	0.102	0.308	0.096	0.01	0.092	0.298	0.086	0.311	0.393	0.598	0.386	0.018	0.1	0.305	0.093
CPI-SS0C70ADA28	EFNA5_EPHA3	simple:P52803	simple:P29320	EFNA5	EPHA3	True	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.234	0.11	0.111	0.199	0.205	0.082	0.083	0.171	0.193	0.07	0.071	0.159	0.362	0.239	0.24	0.328
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.281	0.115	0.117	0.119	0.253	0.086	0.089	0.091	0.241	0.074	0.077	0.079	0.41	0.243	0.246	0.248
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.213	0.046	0.048	0.051	0.58	0.413	0.415	0.418	0.251	0.084	0.086	0.089	0.287	0.121	0.123	0.125
CPI-SS09E3F5044	EFNA5_EPHA5	simple:P52803	simple:P54756	EFNA5	EPHA5	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.099	0.1	0.098	0.102	0.07	0.072	0.069	0.073	0.059	0.06	0.058	0.061	0.228	0.229	0.227	0.23
CPI-SS028688B7B	EFNA5_EPHA7	simple:P52803	simple:Q15375	EFNA5	EPHA7	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.315	0.118	0.108	0.134	0.286	0.09	0.08	0.105	0.275	0.078	0.068	0.093	0.444	0.247	0.237	0.262
CPI-SS068ACD209	EFNA5_EPHB2	simple:P52803	simple:P29323	EFNA5	EPHB2	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.137	0.102	0.106	0.135	0.108	0.074	0.078	0.106	0.096	0.062	0.066	0.094	0.265	0.231	0.235	0.263
CPI-SS0ECC9DF3E	EFNB2_EPHB2	simple:P52799	simple:P29323	EFNB2	EPHB2	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.068	0.033	0.038	0.066	0.435	0.4	0.405	0.433	0.106	0.071	0.076	0.104	0.143	0.108	0.112	0.141
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.059	0.057	0.208	0.182	0.056	0.054	0.205	0.179	0.189	0.187	0.338	0.312	0.062	0.06	0.211	0.185
