gene	mean	CM_3_mean	CM_3_positive_frac	CM_6_mean	CM_6_positive_frac	log2FC	-log10 p-val	is_significant
PEA15	0.43971428	0.43262354	0.3805945223780895	0.79355454	0.8666666666666667	0.8750657	15.185707	1
COPA	0.5108495	0.5052062	0.4467267869071476	0.7924733	0.8666666666666667	0.64938647	10.308148	1
NCSTN	0.15482605	0.15179329	0.1538076152304609	0.30614942	0.48333333333333334	1.0116489	5.172983	1
F11R	0.12687615	0.121102065	0.12174348697394789	0.41499442	0.5916666666666667	1.7760252	12.481864	1
PFDN2	0.58221984	0.5757348	0.4951569806279225	0.9058375	0.8916666666666667	0.6537565	12.175041	1
AL592295.4	0.0035228056	0.0035934194	0.003841015364061456	-1.0186341e-10	0.0	-5.206887	5.57623	1
ATF6	0.25841856	0.25442496	0.24832999331997327	0.45768812	0.6416666666666667	0.8468729	6.5180287	1
DUSP27	0.24768505	0.25048485	0.24031396125584503	0.10795682	0.175	-1.213509	7.375473	1
CREG1	0.25104982	0.2469295	0.23981295925183702	0.45663992	0.6583333333333333	0.8866895	7.4089613	1
MPZL1	0.24606499	0.23979436	0.2363059452237809	0.5589587	0.7	1.2206006	11.99144	1
FMO4	0.014598804	0.01489138	0.015531062124248497	-1.0186341e-10	0.0	-7.227991	20.4106	1
RASAL2	0.22471091	0.22051203	0.2165998663994656	0.43422085	0.6083333333333333	0.9772497	7.248274	1
ANGPTL1	0.003910256	0.0039886343	0.004676018704074816	-1.0186341e-10	0.0	-5.3535485	6.6514144	1
ABL2	0.11447886	0.10963456	0.11305945223780896	0.35619906	0.525	1.6990706	9.758158	1
QSOX1	0.030756455	0.027434286	0.029392117568470273	0.1965273	0.30833333333333335	2.8361626	7.1653986	1
IER5	0.06005391	0.057195242	0.05895123580494322	0.20270714	0.3416666666666667	1.8236212	5.816792	1
LINC01686	0.0036086955	0.0036810304	0.003841015364061456	-1.0186341e-10	0.0	-5.240709	5.588174	1
LAMC1	0.59528464	0.5850185	0.5001670006680027	1.1075633	0.975	0.92071855	24.19833	1
ARPC5	0.86898226	0.8574608	0.6608216432865731	1.443899	0.9833333333333333	0.7517589	25.85655	1
AL445228.2	0.004197966	0.00428211	0.0045090180360721445	-1.0186341e-10	0.0	-5.453555	6.375575	1
EDEM3	0.16436715	0.1607924	0.16265865063460253	0.34273636	0.49166666666666664	1.0914239	5.6189814	1
NIBAN1	0.005722992	0.0017568667	0.002004008016032064	0.20363294	0.3333333333333333	6.777665	10.143582	1
IVNS1ABP	0.17920388	0.16026993	0.1574816299265197	1.1240021	0.925	2.8092976	35.773026	1
HMCN1	0.013898948	0.009951932	0.010521042084168337	0.21085538	0.31666666666666665	4.391393	9.03387	1
RGS13	0.0034559222	0.0035251956	0.003841015364061456	-1.0186341e-10	0.0	-5.1799884	5.4967885	1
GLRX2	0.13638783	0.13354985	0.13560454241816966	0.27799034	0.4583333333333333	1.0570954	5.2450233	1
IPO9-AS1	0.010723687	0.010938606	0.011189044756179024	-1.0186341e-10	0.0	-6.7864156	15.058469	1
LMOD1	0.25350276	0.25631544	0.24265197060788243	0.11312979	0.2	-1.1792295	8.512731	1
ELF3	0.006213063	0.0063375896	0.006680026720106881	-1.0186341e-10	0.0	-6.00845	9.134302	1
PPP1R12B	0.7244955	0.7309949	0.56312625250501	0.40022185	0.5916666666666667	-0.8688984	15.045156	1
ADIPOR1	0.19842534	0.19341975	0.19054776219104877	0.44819364	0.6083333333333333	1.2119632	9.306776	1
CYB5R1	0.20643264	0.20273145	0.1992317969271877	0.39111307	0.5833333333333334	0.94767314	6.422541	1
SRGAP2	0.0721175	0.068738244	0.07181028724114896	0.24074748	0.38333333333333336	1.8068376	7.086205	1
CD46	0.45747787	0.4468999	0.4013026052104208	0.9853298	0.9	1.1404787	21.296328	1
CD34	0.011040136	0.00080166187	0.0008350033400133601	0.52194005	0.5583333333333333	9.177359	17.752014	1
PLXNA2	0.21167144	0.202819	0.19221776887107547	0.6533948	0.7166666666666667	1.6872718	16.348465	1
PTPN14	0.04344484	0.039922975	0.041750167000668005	0.21918508	0.35833333333333334	2.4539075	7.9479713	1
ESRRG	0.27598935	0.27892515	0.25818303273213095	0.12947425	0.225	-1.106616	8.052303	1
TGFB2	0.66359794	0.670055	0.5273881095524382	0.34145167	0.4583333333333333	-0.97239095	12.729949	1
