gene	mean	CM_4_mean	CM_4_positive_frac	CM_5_mean	CM_5_positive_frac	log2FC	-log10 p-val	is_significant
UBXN7-AS1	0.000648329	0.00034647516	0.000350385423966363	0.0010907946	0.0005136106831022085	1.4152727	0.2877352	0
RNF168	0.20514046	0.28295538	0.3608969866853539	0.091055706	0.044170518746789934	-1.6346794	44.55244	1
AC117490.2	0.0019831907	0.001890232	0.002102312543798178	0.0021192476	0.001027221366204417	0.15713412	0.049114972	0
SMCO1	0.0011398337	0.0016287456	0.002452697967764541	0.00042303302	0.0005136106831022085	-1.7247516	0.89650786	0
WDR53	0.021450693	0.032098904	0.05080588647512264	0.005842957	0.0035952747817154596	-2.437759	12.886382	1
FBXO45	0.102020964	0.14379053	0.20707778556412054	0.040800925	0.019517205957883924	-1.8147662	30.36158	1
AC092933.2	0.0001381455	0.00023237709	0.000350385423966363	1.3969839e-09	0.0	-1.7328008	0.49839643	0
LINC01063	0.0015767432	0.0023212575	0.004204625087596356	0.00048526796	0.0005136106831022085	-2.0485873	1.4895418	0
NRROS	0.0014425268	0.00026799022	0.000350385423966363	0.003164228	0.0015408320493066256	3.1490026	0.921225	0
PIGX	0.21509527	0.3165776	0.39418360196215835	0.066315815	0.03287108371854135	-2.253416	44.55244	1
CEP19	0.054003023	0.07934714	0.11212333566923616	0.016846398	0.009244992295839754	-2.2290168	23.763723	1
PAK2	0.54764473	0.7450592	0.7165381920112124	0.25835112	0.12223934257832562	-1.5276573	44.55244	1
SENP5	0.17312716	0.2144837	0.28521373510861947	0.11248634	0.05649717514124294	-0.9305086	14.5998125	1
AC016949.1	0.033368636	0.026456416	0.042747021723896286	0.043499228	0.02054442732408834	0.7152422	1.6520641	0
NCBP2	0.31662184	0.41607428	0.5010511562718991	0.17082086	0.08371854134566	-1.2838591	44.55244	1
NCBP2-AS1	0.00048389996	0.00020839219	0.000350385423966363	0.00088773895	0.0005136106831022085	1.6793636	0.34070352	0
NCBP2AS2	0.26633784	0.3685341	0.448843728100911	0.11651528	0.058038007190549565	-1.6604325	44.55244	1
PIGZ	0.008198705	0.011648634	0.01857042747021724	0.0031425366	0.0015408320493066256	-1.8572981	3.1533124	0
AC011322.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
MELTF	0.013448813	0.020179508	0.029782761037140854	0.0035834967	0.0025680534155110425	-2.4608748	8.277224	1
MELTF-AS1	0.04409209	0.06670692	0.09320252277505256	0.010935326	0.005649717514124294	-2.5978682	24.81604	1
DLG1	0.24608651	0.26872137	0.34898388227049754	0.21288644	0.10118130457113508	-0.3358862	3.0608592	0
DLG1-AS1	0.00013175816	0.0002216323	0.000350385423966363	1.3969839e-09	0.0	-1.6853923	0.49841812	0
