gene	mean	VO_mean	VO_positive_frac	HO_mean	HO_positive_frac	log2FC	-log10 p-val	is_significant
AL031290.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
ASTN1	0.016502513	0.016914826	0.022682445759368838	-7.2759576e-11	0.0	-7.41065	14.706854	1
BRINP2	0.0019214443	0.0019694453	0.0026298487836949377	-7.2759576e-11	0.0	-4.3711734	2.09938	0
LINC01645	0.0030555376	0.0031318725	0.003616042077580539	-7.2759576e-11	0.0	-5.0142994	2.898455	0
AL136114.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LINC01741	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
SEC16B	0.009896388	0.010143655	0.013149243918474688	-7.2759576e-11	0.0	-6.678588	8.946388	1
RASAL2-AS1	0.0108078	0.010740786	0.013149243918474688	0.013490959	0.02631578947368421	0.32617792	0.108647116	0
RASAL2	0.5240447	0.52513164	0.5072320841551611	0.4805251	0.5394736842105263	-0.12804195	0.32060057	0
CLEC20A	0.00192371	0.0019717677	0.0023011176857330702	-7.2759576e-11	0.0	-4.372792	1.8806304	0
AL513013.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
TEX35	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
C1orf220	0.004169843	0.004274017	0.006903353057199211	-7.2759576e-11	0.0	-5.450888	4.8019104	0
AL137796.1	0.00034826924	0.00035696983	0.0006574621959237344	-7.2759576e-11	0.0	-2.1921	0.707866	0
AL449106.1	0.00015663015	0.0001605429	0.0003287310979618672	-7.2759576e-11	0.0	-1.381522	0.49844253	0
RALGPS2	0.0771054	0.07569866	0.09204470742932282	0.13340655	0.17105263157894737	0.8166663	0.8675137	0
ANGPTL1	0.014781867	0.0151511915	0.020381328073635765	-7.2759576e-11	0.0	-7.2527795	13.02821	1
FAM20B	0.13608515	0.13664572	0.16305062458908612	0.113655224	0.15789473684210525	-0.26556283	0.3170328	0
TOR3A	0.08398199	0.08460977	0.10650887573964497	0.05886205	0.10526315789473684	-0.5227416	0.633643	0
ABL2	0.4890868	0.49519008	0.48356344510190663	0.24477804	0.3026315789473684	-1.0162103	5.9320903	1
SOAT1	0.12844911	0.13048139	0.15450361604207757	0.047111586	0.07894736842105263	-1.4677365	4.2759113	0
AXDND1	0.0006503856	0.00066663715	0.0009861932938856016	-7.2759576e-11	0.0	-2.938545	0.95132	0
AL160286.3	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
