gene	mean	VO_mean	VO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
GSTA4	0.24329628	0.25550392	0.2856673241288626	0.15336075	0.18401937046004843	-0.7360401	7.1923757	1
HMGCLL1	0.016108884	0.018296033	0.026627218934911243	3.0559022e-10	0.0	-7.5232463	17.193909	1
AL391807.1	0.011072983	0.012436575	0.017422748191978962	0.0010300878	0.002421307506053269	-3.4716365	7.3261094	1
COL12A1	0.044112653	0.049308576	0.0611439842209073	0.0058346703	0.007263922518159807	-3.0575218	16.22838	1
NT5E	0.15501505	0.13198327	0.1525312294543064	0.3246588	0.33171912832929784	1.2979208	12.936833	1
PNRC1	0.98721814	0.93427974	0.7383300460223537	1.3771545	0.8813559322033898	0.5597142	30.415575	1
SRSF12	0.023850193	0.026126994	0.034845496383957925	0.0070809275	0.012106537530266344	-1.8688104	5.3203034	1
GABRR1	0.03146887	0.035402466	0.05128205128205128	0.002496316	0.004842615012106538	-3.7733812	21.078424	1
EPHA7	0.038408425	0.041938085	0.04963839579224195	0.012404487	0.01694915254237288	-1.7492512	6.2214956	1
POPDC3	0.19600897	0.18198937	0.2074293228139382	0.29925573	0.3075060532687651	0.7172141	5.58121	1
CRYBG1	0.059308954	0.06375807	0.07166337935568705	0.026531896	0.03631961259079903	-1.2617139	5.0238123	1
CD24	0.05969196	0.06455542	0.0641025641025641	0.02386313	0.026634382566585957	-1.4319551	5.147289	1
FIG4	0.059612233	0.06410638	0.07725180802103879	0.026503637	0.03389830508474576	-1.2710932	5.2158055	1
AMD1	0.51767915	0.55682707	0.5249835634451019	0.22931364	0.25907990314769974	-1.2795373	39.618546	1
GTF3C6	0.89440316	0.93300736	0.7504930966469427	0.6101017	0.585956416464891	-0.6127569	23.472422	1
AL080317.1	0.01424271	0.015801525	0.020381328073635765	0.0027618993	0.004842615012106538	-2.4741204	5.2587376	1
SLC35F1	0.04555267	0.049419675	0.06574621959237344	0.017063208	0.026634382566585957	-1.5286826	6.528963	1
