gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
AC010525.1	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
NLRP9	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
RFPL4A	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
RFPL4AL1	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
NLRP11	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
NLRP4	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
NLRP13	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
NLRP8	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
NLRP5	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
LINC01864	0.0033967046	-7.2759576e-11	0.0	0.0038576864	0.005357142857142857	5.3065863	1.0401555	0
ZNF787	0.1519087	0.19237824	0.2894736842105263	0.14641654	0.19285714285714287	-0.39363173	0.5989958	0
ZNF444	0.14233695	0.22354715	0.2894736842105263	0.13131574	0.18035714285714285	-0.76708627	1.3560137	0
GALP	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
ZSCAN5B	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
ZSCAN5C	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
ZSCAN5A	0.035067767	0.059938215	0.09210526315789473	0.031692628	0.04285714285714286	-0.91718876	0.6084801	0
EDDM13	0.011340317	0.039695013	0.06578947368421052	0.007492026	0.010714285714285714	-2.3900309	1.128872	0
AC006116.5	0.0019340114	-7.2759576e-11	0.0	0.002196484	0.0017857142857142857	4.521356	0.4979345	0
