gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
MARCH8	0.07330745	0.08529406	0.11594202898550725	0.071304895	0.08958837772397095	-0.25811276	0.17450431	0
ZFAND4	0.029496562	0.0136762345	0.014492753623188406	0.032139648	0.043583535108958835	1.2266544	0.6173889	0
WASHC2C	0.12727116	0.079613864	0.10144927536231885	0.13523337	0.16464891041162227	0.7636151	0.97078884	0
AGAP4	0.019620055	0.007258222	0.014492753623188406	0.021685349	0.029055690072639227	1.5659292	0.8491667	0
TIMM23	0.12980558	0.124994636	0.15942028985507245	0.13060944	0.16707021791767554	0.0633434	0.050788593	0
NCOA4	0.38448706	0.37037826	0.4057971014492754	0.38684365	0.4043583535108959	0.0627346	0.10133493	0
MSMB	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
ANTXRL	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
ANXA8L1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LINC00842	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
NPY4R	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
GPRIN2	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
SYT15	0.008998299	-5.820766e-11	0.0	0.010501646	0.012106537530266344	6.728145	1.4299381	0
AL356056.2	0.0040822327	-5.820766e-11	0.0	0.004764272	0.002421307506053269	5.6041527	0.49771214	0
AL356056.1	0.0039419006	-5.820766e-11	0.0	0.0046004746	0.004842615012106538	5.554735	0.7995127	0
LINC02637	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
FAM245B	0.003122848	-5.820766e-11	0.0	0.003644583	0.002421307506053269	5.226734	0.4977119	0
PTPN20	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
GDF10	0.0050348933	-5.820766e-11	0.0	0.005876074	0.007263922518159807	5.901127	1.0512248	0
GDF2	0.0026883988	-5.820766e-11	0.0	0.00313755	0.004842615012106538	5.0168314	0.7979735	0
RBP3	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
ZNF488	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
ANXA8	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
FAM25G	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL591684.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AGAP9	0.019734394	0.01956408	0.028985507246376812	0.01976285	0.024213075060532687	0.014510056	0.0038783653	0
LINC02675	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
FO681492.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AC245041.2	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
NPY4R2	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AC245041.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
FAM25C	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
FRMPD2	0.013962889	0.01025742	0.014492753623188406	0.01458196	0.01937046004842615	0.5033798	0.15054251	0
AC074325.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
MAPK8	0.12085749	0.11084585	0.15942028985507245	0.12253023	0.14769975786924938	0.14445893	0.12531157	0
ARHGAP22	0.014008277	0.026934903	0.043478260869565216	0.011848688	0.012106537530266344	-1.1779709	0.3964636	0
