Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of alpha-beta T cell proliferation (GO:0046641)	2/16	2.837415e-03	3.199974e-02	0	0	2.898834e+01	1.700126e+02	HLA-E;TGFBR2
GO_Biological_Process_2021	positive regulation of macromolecule metabolic process (GO:0010604)	7/384	3.160714e-03	3.531880e-02	0	0	3.897807e+00	2.243951e+01	CDH5;RAMP2;ANXA2;LAPTM5;MSN;CD34;LIMS1
GO_Biological_Process_2021	regulation of vascular endothelial cell proliferation (GO:1905562)	2/18	3.594237e-03	3.943947e-02	0	0	2.536224e+01	1.427495e+02	FLT1;APLN
GO_Biological_Process_2021	T cell migration (GO:0072678)	2/18	3.594237e-03	3.943947e-02	0	0	2.536224e+01	1.427495e+02	MSN;CD99
GO_Biological_Process_2021	circulatory system development (GO:0072359)	4/126	3.695681e-03	4.019053e-02	0	0	6.754781e+00	3.783076e+01	CDH5;RAMP2;HSPG2;TGFBR2
GO_Biological_Process_2021	diol metabolic process (GO:0034311)	2/19	4.004046e-03	4.315865e-02	0	0	2.386915e+01	1.317684e+02	CALM1;PLPP3
GO_Biological_Process_2021	regulation of response to external stimulus (GO:0032101)	4/130	4.131009e-03	4.413657e-02	0	0	6.539021e+00	3.589421e+01	GRN;CAV1;TMSB4X;CALM1
GO_Biological_Process_2021	negative regulation of inflammatory response (GO:0050728)	5/212	4.256796e-03	4.508502e-02	0	0	5.007119e+00	2.733506e+01	CDH5;RAMP2;GRN;CALCRL;PLK2
GO_Biological_Process_2021	positive regulation of GTPase activity (GO:0043547)	5/214	4.428742e-03	4.616428e-02	0	0	4.958701e+00	2.687437e+01	ITGB1;ARHGAP29;ITGA6;S100A10;LIMS1
GO_Biological_Process_2021	positive regulation of alpha-beta T cell activation (GO:0046635)	2/20	4.434500e-03	4.616428e-02	0	0	2.254195e+01	1.221400e+02	PNP;HLA-E
GO_Biological_Process_2021	transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	4/133	4.479389e-03	4.623641e-02	0	0	6.385982e+00	3.453711e+01	FKBP1A;ITGB1;CDH5;TGFBR2
GO_Biological_Process_2021	negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	3/68	4.804055e-03	4.917091e-02	0	0	9.437748e+00	5.038148e+01	FKBP1A;CAV1;TGFBR2
GO_Biological_Process_2021	regulation of plasma membrane bounded cell projection assembly (GO:0120032)	3/70	5.209724e-03	5.244168e-02	0	0	9.155101e+00	4.813046e+01	MYO10;CAV1;FSCN1
GO_Biological_Process_2021	positive regulation of cell-substrate adhesion (GO:0010811)	3/70	5.209724e-03	5.244168e-02	0	0	9.155101e+00	4.813046e+01	UTRN;S100A10;LIMS1
GO_Biological_Process_2021	negative regulation of interleukin-2 production (GO:0032703)	2/22	5.356497e-03	5.315770e-02	0	0	2.028571e+01	1.060830e+02	LAPTM5;CD34
GO_Biological_Process_2021	protein localization to cell periphery (GO:1990778)	4/140	5.368142e-03	5.315770e-02	0	0	6.055147e+00	3.165191e+01	SLC9A3R2;RAMP2;CAV1;S100A10
GO_Biological_Process_2021	Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	3/71	5.420056e-03	5.323894e-02	0	0	9.020012e+00	4.706326e+01	MYO10;ARPC1B;ACTB
GO_Biological_Process_2021	Fc-gamma receptor signaling pathway (GO:0038094)	3/72	5.635432e-03	5.491165e-02	0	0	8.888839e+00	4.603247e+01	MYO10;ARPC1B;ACTB
GO_Biological_Process_2021	blood vessel endothelial cell migration (GO:0043534)	2/23	5.847620e-03	5.608189e-02	0	0	1.931876e+01	9.933165e+01	CDH5;KDR
GO_Biological_Process_2021	regulation of peptidase activity (GO:0052547)	2/23	5.847620e-03	5.608189e-02	0	0	1.931876e+01	9.933165e+01	CSTB;CAV1
GO_Biological_Process_2021	Fc receptor mediated stimulatory signaling pathway (GO:0002431)	3/74	6.081442e-03	5.779635e-02	0	0	8.637578e+00	4.407336e+01	MYO10;ARPC1B;ACTB
