gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
DCLRE1C	0.07382687	0.0840866	0.10790481400437636	0.06600479	0.07240195568500989	-0.3488357	5.269158	0
MEIG1	0.005009945	0.0052255793	0.007111597374179431	0.004846248	0.005305315718298138	-0.10660393	0.14638089	0
OLAH	0.00029884093	0.00016619026	0.0002735229759299781	0.00039968232	0.0003120773951940081	0.9085533	0.34325388	0
ACBD7	0.009755248	0.010931235	0.01449671772428884	0.008858105	0.00998647664620826	-0.30032873	0.7970076	0
RPP38-DT	0.0073368247	0.007843745	0.010530634573304158	0.00695149	0.0074898574846561945	-0.17189123	0.3197175	0
RPP38	0.13182962	0.13463686	0.1664387308533917	0.12969948	0.1347134089254135	-0.053860016	0.46743923	0
NMT2	0.058490846	0.06051579	0.07836433260393873	0.05693333	0.06064704046603558	-0.08788848	0.50382996	0
FAM171A1	0.10088797	0.09538088	0.12171772428884026	0.10506574	0.1113076042858629	0.139381	1.4734292	0
AL607028.1	4.5803383e-05	0.00010607507	0.00013676148796498905	4.9112714e-09	0.0	-1.0430992	0.49846157	0
ITGA8	0.0057247984	0.0030745275	0.0034190371991247265	0.00774086	0.009674399251014251	1.30447	4.5697894	0
MINDY3	0.1069177	0.11570338	0.1487964989059081	0.10022362	0.10589826276916675	-0.20701604	3.003222	0
LINC02654	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
PTER	0.0529653	0.04488158	0.059901531728665205	0.059102222	0.06428794340996567	0.3963171	4.8714395	0
C1QL3	0.00083662657	0.000917709	0.0010940919037199124	0.00077482034	0.0008322063871840217	-0.2182665	0.12057438	0
AL353576.1	0.00046970235	0.00067266414	0.0009573304157549234	0.00031510124	0.0003120773951940081	-0.8963783	0.58190703	0
RSU1	0.12324593	0.12640324	0.16178884026258206	0.120838016	0.12847186102153335	-0.064906545	0.5822975	0
AC073367.1	0.00015044873	0.0001860946	0.0002735229759299781	0.0001233751	0.00020805159679600541	-0.35702395	0.15857415	0
AL365215.2	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
CUBN	0.0026917988	0.0021701157	0.0028719912472647702	0.003088993	0.0037449287423280972	0.49033508	0.6781046	0
AC067747.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
TRDMT1	0.059681527	0.059499815	0.07289387308533916	0.05980253	0.06345573702278165	0.0073091188	0.029229116	0
VIM-AS1	0.017487751	0.01600236	0.021061269146608316	0.018615039	0.020597108082804537	0.2169258	0.7425219	0
VIM	2.3799868	2.3835473	0.9685448577680525	2.377273	0.9557890356808488	-0.0038024697	0.23759726	0
AL133415.1	0.00072697265	0.0004844159	0.0005470459518599562	0.00091135356	0.0009362321855820243	0.79122	0.5306246	0
ST8SIA6	0.00038598786	0.00028011904	0.00041028446389496716	0.00046636694	0.0006241547903880162	0.5752858	0.3083591	0
ST8SIA6-AS1	9.609649e-05	0.0001483697	0.0002735229759299781	5.642027e-05	0.00010402579839800271	-0.66706175	0.35411695	0
HACD1	0.8925734	1.039935	0.774070021881838	0.7805008	0.5889940705294913	-0.41397515	44.55244	0
STAM-AS1	0.010912957	0.00921291	0.011487964989059081	0.012202516	0.012379070009362322	0.40164948	1.2038046	0
STAM	0.26957273	0.301913	0.3509299781181619	0.24504866	0.24383647144491835	-0.30095363	15.211794	0
AC069542.1	0.0002307808	0.00043999427	0.0002735229759299781	7.153175e-05	0.00010402579839800271	-1.6544684	0.60464907	0
TMEM236	0.0003271549	0.00022867354	0.0002735229759299781	0.00040200603	0.00041610319359201083	0.61104935	0.29000407	0
MRC1	0.0004974716	0.0005961965	0.0009573304157549234	0.00042223994	0.0006241547903880162	-0.41478172	0.25169274	0
AC069023.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
SLC39A12	9.864415e-05	1.2296368e-09	0.0	0.0001737091	0.00020805159679600541	1.4526258	0.78246146	0
SLC39A12-AS1	3.8944905e-05	1.2296368e-09	0.0	6.860449e-05	0.00010402579839800271	0.7536252	0.49859393	0
CACNB2	0.40895954	0.40383345	0.42861050328227573	0.41289577	0.3688754811193176	0.032009393	0.5432838	0
AL390783.1	0.035101395	0.03556718	0.03925054704595186	0.03474716	0.031727868511390825	-0.03355598	0.09900242	0
AL450384.2	0.10865533	0.09776678	0.11515317286652078	0.11692674	0.11505253302819099	0.257947	3.8745306	0
AL450384.1	0.0008911464	0.0008040251	0.0012308533916849016	0.00095742586	0.0009362321855820243	0.22612184	0.1345796	0
NSUN6	0.07289663	0.07531829	0.09559628008752735	0.07103669	0.07344221366898991	-0.084320635	0.5308479	0
