gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
BX005132.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
LINC02781	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
LINC02782	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL139823.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
Z98259.3	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
Z98259.2	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
Z98259.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL365255.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
NPHP4	0.007550052	0.008118632	0.011077680525164113	0.006669383	0.008476372112735749	-0.27987403	0.50418526	0
KCNAB2	0.0070774835	0.0074329376	0.01012035010940919	0.006527146	0.007840644204280567	-0.18482488	0.27733967	0
CHD5	0.0013914565	0.0016091162	0.0020514223194748357	0.0010544456	0.0012714558169103624	-0.5660503	0.44219825	0
RPL22	1.9908073	2.0038633	0.9492614879649891	1.9705822	0.9485060394151303	-0.024160864	2.2706676	0
AL031847.1	0.004017981	0.0041528232	0.0053336980306345734	0.003809863	0.004450095359186269	-0.12130271	0.12162729	0
RNF207	0.11580717	0.073901236	0.08985229759299782	0.18072782	0.1790633608815427	1.2889954	44.55244	1
ICMT	0.20184518	0.19236863	0.23933260393873085	0.2165566	0.23034541216359397	0.1707868	2.9623387	0
LINC00337	0.0014272908	0.0016006452	0.002324945295404814	0.0011591042	0.00169527442254715	-0.4336846	0.3431507	0
HES3	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
GPR153	0.032027334	0.031981643	0.04048140043763676	0.032104213	0.03475312566221657	0.00550137	0.013131179	0
ACOT7	0.063294485	0.065374404	0.08821115973741794	0.060055945	0.07056579783852511	-0.12222365	0.67783356	0
AL031848.2	0.0034522044	0.0028446538	0.0038293216630196935	0.0043942253	0.005297732570459843	0.6099744	0.8427221	0
HES2	0.00033049338	0.0003502543	0.0005470459518599562	0.00029978144	0.0004238186056367875	-0.17152858	0.066845536	0
ESPN	0.004530566	0.004757006	0.005607221006564552	0.004180471	0.004026276753549481	-0.18229777	0.190453	0
AL031848.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
TNFRSF25	0.008997355	0.008607053	0.011351203501094092	0.009602341	0.011019283746556474	0.15614837	0.2380312	0
PLEKHG5	0.016682249	0.016303092	0.022702407002188184	0.017262843	0.01991947446492901	0.08203531	0.17331584	0
NOL9	0.119718164	0.124328166	0.15741247264770242	0.112553924	0.12375503284594194	-0.14341556	1.3645467	0
TAS1R1	5.76956e-05	9.492033e-05	0.00013676148796498905	-5.4351403e-09	0.0	-0.96296304	0.49852514	0
ZBTB48	0.04211225	0.045326594	0.057439824945295405	0.037140906	0.040474676838313205	-0.28664896	1.6578748	0
KLHL21	0.05831603	0.05647251	0.07385120350109409	0.061163373	0.06823479550752277	0.11492359	0.5707054	0
PHF13	0.13049324	0.12597723	0.16178884026258206	0.1374736	0.14515787243059972	0.12589583	1.1775876	0
THAP3	0.15158008	0.15984818	0.19803063457330417	0.1387526	0.14833651197287562	-0.20405044	2.9276116	0
DNAJC11	0.10539887	0.11146043	0.1437363238512035	0.09598466	0.10659037931765204	-0.21544741	2.378731	0
