gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV	SM
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.0	0.003	0.06	0.022	0.006
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0C70ADA28	EFNA5	0.0	0.226	0.948	0.139	0.056
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.0	0.226	0.948	0.139	0.056
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.133	1.365	0.278	0.22	0.142
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.0	0.226	0.948	0.139	0.056
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS028688B7B	EFNA5	0.0	0.226	0.948	0.139	0.056
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS068ACD209	EFNA5	0.0	0.226	0.948	0.139	0.056
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0ECC9DF3E	EFNB2	0.133	1.365	0.278	0.22	0.142
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.074	0.027	0.074	0.013	0.078
EREG	O14944	False	EREG_HUMAN		CPI-SS004C23DCE	EREG	0.0	0.0	0.01	0.001	0.003
TGFA	P01135	False	TGFA_HUMAN		CPI-SS07E5C3060	TGFA	0.0	0.003	0.045	0.001	0.001
EREG	O14944	False	EREG_HUMAN		CPI-SS0FC42EC80	EREG	0.0	0.0	0.01	0.001	0.003
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BD5C2A23	NRG1	0.0	0.115	0.346	0.106	0.047
NRG3	P56975	False	NRG3_HUMAN		CPI-SS0D5E30C6C	NRG3	0.52	1.177	1.239	1.632	1.605
NRG4	Q8WWG1	False	NRG4_HUMAN		CPI-SS0627D0E22	NRG4	0.0	0.004	0.009	0.009	0.004
FLRT2	O43155	False	FLRT2_HUMAN		CPI-SS0474E1C15	FLRT2	0.0	0.039	0.042	0.326	0.192
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS038A612D7	TENM1	0.0	0.013	0.103	0.121	0.025
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS0BCB3D402	TENM2	0.0	0.054	0.096	0.239	0.292
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS0EA023E51	TENM3	0.066	0.047	0.401	0.379	0.322
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS01F00A48A	TENM4	0.07	0.069	0.28	0.54	0.196
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS083BB1EB3	TENM1	0.0	0.013	0.103	0.121	0.025
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS021718DBF	TENM2	0.0	0.054	0.096	0.239	0.292
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.066	0.047	0.401	0.379	0.322
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS0FD44484F	TENM4	0.07	0.069	0.28	0.54	0.196
PENK	P01210	False	PENK_HUMAN		CPI-SS09F7A6011	PENK	0.0	0.002	0.0	0.021	0.007
LRFN5	Q96NI6	False	LRFN5_HUMAN		CPI-SS081E1A895	LRFN5	0.219	0.109	0.199	0.806	0.283
PTN	P21246	False	PTN_HUMAN		CPI-SS05D7900BF	PTN	0.062	0.127	0.171	1.037	0.468
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS0BA4E3F44	NTN4	0.0	0.018	0.329	0.082	0.177
NTF3	P20783	False	NTF3_HUMAN		CPI-SS05162C56B	NTF3	0.0	0.004	0.004	0.026	0.075
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.0	0.004	0.006	0.035	0.019
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0BDC912F3	CNTN1	0.0	0.004	0.006	0.035	0.019
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SS0F67B526A	SEMA3C	0.073	0.03	0.371	0.077	0.064
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS01E3453DB	RSPO2	0.0	0.0	0.0	0.001	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0ACAB1835	RSPO3	0.0	0.016	0.014	0.195	0.089
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.0	0.0	0.0	0.001	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	0.0	0.016	0.014	0.195	0.089
VIP	P01282	False	VIP_HUMAN		CPI-SS02CAD3BF8	VIP	0.0	0.007	0.0	0.001	0.0
SLIT2	O94813	False	SLIT2_HUMAN		CPI-SS0A932EB77	SLIT2	0.15	0.428	0.364	0.515	0.306
SLIT2	O94813	False	SLIT2_HUMAN		CPI-SS0D0235DCE	SLIT2	0.15	0.428	0.364	0.515	0.306
TAC1	P20366	False	TKN1_HUMAN		CPI-SS015B70BF9	TAC1	0.0	0.024	0.02	0.188	0.032
VEGFC	P49767	False	VEGFC_HUMAN		CPI-SS0EC8C81E0	VEGFC	0.132	0.407	0.024	0.036	0.056
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0FF2EEAE8	WNT5B	0.0	0.014	0.043	0.053	0.109
WNT7A	O00755	False	WNT7A_HUMAN		CPI-SS02ADD742C	WNT7A	0.0	0.001	0.011	0.0	0.0
WNT8A	Q9H1J5	False	WNT8A_HUMAN		CPI-SS03146C969	WNT8A	0.0	0.0	0.0	0.0	0.0
